wh_id,inventory_snapshot_date,item_number,location_id,aisle_sequence,picking_flow_as_int,actual_qty,type
AVP1,2025-04-06,94014,S9-13-A01,6,2970,117,P
AVP1,2025-04-06,76428,S8-22-A01,5,2802,130,P
AVP1,2025-04-06,76522,S7-16-A01,5,2820,321,P
AVP1,2025-04-06,301488,S7-15-A01,5,2822,61,P
AVP1,2025-04-06,102931,S7-02-A01,5,2854,291,P
AVP1,2025-04-06,172471,S5-13-A01,4,2657,26,P
AVP1,2025-04-06,102302,S5-09-A01,4,2649,25,P
AVP1,2025-04-06,81162,S5-08-A01,4,2641,106,P
AVP1,2025-04-06,49984,S4-17-A01,3,2527,29,P
AVP1,2025-04-06,203188,S4-15-A01,3,2531,140,P
AVP1,2025-04-06,87463,S3-01-A01,3,2564,75,P
AVP1,2025-04-06,93925,S2-09-A01,2,2331,9,P
AVP1,2025-04-06,139309,L-48-A02,12,44017,201,P
AVP1,2025-04-06,263631,L-47-C02,12,44131,24,I
AVP1,2025-04-06,102183,L-39-A02,12,45357,54,P
AVP1,2025-04-06,1111718,L-38-C03,12,45470,13,I
AVP1,2025-04-06,104750,L-36-C02,12,45651,2,I
AVP1,2025-04-06,207631,L-26-C03,12,46474,1,I
AVP1,2025-04-06,61755,L-21-C04,12,46917,18,I
AVP1,2025-04-06,110182,L-19-C02,12,47067,62,I
AVP1,2025-04-06,61754,L-17-C04,12,47239,16,I
AVP1,2025-04-06,836294,L-17-C01,12,47242,10,I
AVP1,2025-04-06,192274,L-16-C02,12,47331,24,I
AVP1,2025-04-06,151436,L-13-A01,12,50040,842,P
AVP1,2025-04-06,782670,L-08-C05,12,50503,41,I
AVP1,2025-04-06,68013,L-07-C07,12,50566,68,I
AVP1,2025-04-06,1541750,L-06-C20,12,50637,40,I
AVP1,2025-04-06,135654,K-49-C22,11,42465,14,I
AVP1,2025-04-06,72306,K-49-C19,11,42462,88,I
AVP1,2025-04-06,112293,K-48-A02,11,42353,61,I
AVP1,2025-04-06,1286318,K-40-B04,11,40970,66,P
AVP1,2025-04-06,549358,K-40-B01,11,40970,217,P
AVP1,2025-04-06,194656,K-37-B02,11,40732,111,P
AVP1,2025-04-06,328735,K-36-A01,11,40642,137,I
AVP1,2025-04-06,154904,K-32-A02,11,40321,3,I
AVP1,2025-04-06,189484,K-31-C04,11,40235,1,I
AVP1,2025-04-06,166728,K-30-B02,11,40140,114,I
AVP1,2025-04-06,324313,K-28-C01,11,37468,29,I
AVP1,2025-04-06,959526,K-25-C03,11,37232,41,I
AVP1,2025-04-06,144159,K-24-B14,11,37138,12,I
AVP1,2025-04-06,1298030,K-23-C03,11,37058,30,I
AVP1,2025-04-06,847142,K-23-B11,11,37054,39,I
AVP1,2025-04-06,826174,K-23-B02,11,37054,5,I
AVP1,2025-04-06,174221,K-22-B10,11,36964,4,I
AVP1,2025-04-06,944966,K-21-B15,11,36874,24,I
AVP1,2025-04-06,1443606,K-21-B14,11,36874,6,I
AVP1,2025-04-06,1109294,K-21-B08,11,36874,5,I
AVP1,2025-04-06,140851,K-21-B02,11,36874,1,I
AVP1,2025-04-06,130411,K-20-C06,11,36823,20,I
AVP1,2025-04-06,1022030,K-20-B01,11,36809,109,I
AVP1,2025-04-06,255001,K-18-B01,11,36636,27,I
AVP1,2025-04-06,263198,K-15-C02,11,36400,4,I
AVP1,2025-04-06,86816,K-15-C01,11,36374,26,I
AVP1,2025-04-06,270817,K-12-C03,11,36138,139,I
AVP1,2025-04-06,1556478,K-12-C01,11,36136,48,I
AVP1,2025-04-06,875454,K-11-C04,11,36055,72,I
AVP1,2025-04-06,196220,K-10-A01,11,35960,19,I
AVP1,2025-04-06,49385,K-09-C04,11,35900,22,I
AVP1,2025-04-06,1626254,K-09-B12,11,35870,10,I
AVP1,2025-04-06,1725918,K-06-B11,11,35632,5,I
AVP1,2025-04-06,867606,K-06-B08,11,35632,5,I
AVP1,2025-04-06,83706,K-06-B02,11,35632,37,I
AVP1,2025-04-06,577462,J-49-C01,11,42470,8,I
AVP1,2025-04-06,667014,J-46-B01,11,42230,561,P
AVP1,2025-04-06,667030,J-43-B04,11,41966,810,P
AVP1,2025-04-06,1272774,J-42-B01,11,41901,28,I
AVP1,2025-04-06,982750,J-39-B05,11,40938,66,I
AVP1,2025-04-06,885822,J-35-B15,11,40609,7,I
AVP1,2025-04-06,965438,J-35-B14,11,40609,4,I
AVP1,2025-04-06,309756,J-34-B24,11,40526,6,I
AVP1,2025-04-06,1574542,J-34-B05,11,40526,11,I
