wh_id,container_id,arrive_datetime,cut_datetime,pull_datetime,item_number,quantity,pick_location,print_zone,pick_aisle,picking_flow_as_int,released_flag
AVP1,1062237080,2025-03-03 00:23:00,2025-03-05 18:00:00,2025-03-05 21:00:00,118870,1.0,11-30-C02,3,17,172503,0
AVP1,1062237080,2025-03-03 00:23:00,2025-03-05 18:00:00,2025-03-05 21:00:00,145533,1.0,23-36-A01,3,23,221740,0
AVP1,1062237080,2025-03-03 00:23:00,2025-03-05 18:00:00,2025-03-05 21:00:00,172632,1.0,14-26-A01,3,19,183305,0
AVP1,1062248366,2025-03-03 00:37:00,2025-03-05 18:00:00,2025-03-05 21:00:00,217686,3.0,85-05-A01,5,56,543217,0
AVP1,1062248366,2025-03-03 00:37:00,2025-03-05 18:00:00,2025-03-05 21:00:00,239526,1.0,103-29-A01,6,65,625158,0
AVP1,1062369918,2025-03-03 02:57:00,2025-03-05 18:00:00,2025-03-05 21:00:00,78018,1.0,F-38-A02,2,9,22935,0
AVP1,1062492506,2025-03-03 09:13:00,2025-03-05 18:00:00,2025-03-05 21:00:00,106228,1.0,30-31-A01,4,27,256502,0
AVP1,1062492506,2025-03-03 09:13:00,2025-03-05 18:00:00,2025-03-05 21:00:00,124887,1.0,15-29-A01,3,19,183330,0
AVP1,1062492506,2025-03-03 09:13:00,2025-03-05 18:00:00,2025-03-05 21:00:00,126366,1.0,18-12-A01,3,21,195056,0
AVP1,1062492506,2025-03-03 09:13:00,2025-03-05 18:00:00,2025-03-05 21:00:00,102751,1.0,F-27-C02,2,9,22021,0
AVP1,1062492506,2025-03-03 09:13:00,2025-03-05 18:00:00,2025-03-05 21:00:00,1500678,1.0,38-16-A01,4,31,283765,0
AVP1,1062492506,2025-03-03 09:13:00,2025-03-05 18:00:00,2025-03-05 21:00:00,206918,2.0,45-30-A01,4,35,333420,0
AVP1,1062775825,2025-03-04 00:23:00,2025-03-06 15:00:00,2025-03-06 18:00:00,230117,1.0,34-20-C04,4,29,272618,0
AVP1,1062775825,2025-03-04 00:23:00,2025-03-06 15:00:00,2025-03-06 18:00:00,733462,1.0,37-36-A01,4,30,280627,0
AVP1,1062777047,2025-03-04 00:23:00,2025-03-06 18:00:00,2025-03-06 21:00:00,102159,1.0,S7-07-A01,1,5,2838,0
AVP1,1062777047,2025-03-04 00:23:00,2025-03-06 18:00:00,2025-03-06 21:00:00,75964,1.0,S5-04-A01,1,4,2634,0
AVP1,1062777047,2025-03-04 00:23:00,2025-03-06 18:00:00,2025-03-06 21:00:00,75972,1.0,11-15-A01,3,17,172342,0
AVP1,1062777346,2025-03-04 00:23:00,2025-03-06 19:30:00,2025-03-06 22:30:00,100144,1.0,08-46-A01,2,16,74001,0
AVP1,1062777346,2025-03-04 00:23:00,2025-03-06 19:30:00,2025-03-06 22:30:00,100144,2.0,08-46-A01,2,16,74001,0
AVP1,1062777346,2025-03-04 00:23:00,2025-03-06 19:30:00,2025-03-06 22:30:00,666710,1.0,18-39-A02,3,21,197329,0
AVP1,1062777346,2025-03-04 00:23:00,2025-03-06 19:30:00,2025-03-06 22:30:00,91557,1.0,05-31-A02,2,14,63667,0
AVP1,1062781132,2025-03-04 00:32:00,2025-03-06 18:00:00,2025-03-06 21:00:00,178723,1.0,20-46-A01,3,22,205528,0
AVP1,1062781132,2025-03-04 00:32:00,2025-03-06 18:00:00,2025-03-06 21:00:00,217436,1.0,06-48-A01,2,15,73140,0
AVP1,1062781132,2025-03-04 00:32:00,2025-03-06 18:00:00,2025-03-06 21:00:00,178721,1.0,F-44-A01,2,9,23436,0
AVP1,1062781191,2025-03-04 00:32:00,2025-03-06 19:30:00,2025-03-06 22:30:00,144910,1.0,30-13-A02,4,27,255726,0
AVP1,1062781191,2025-03-04 00:32:00,2025-03-06 19:30:00,2025-03-06 22:30:00,224477,1.0,60-07-A01,5,43,392528,0
AVP1,1062781191,2025-03-04 00:32:00,2025-03-06 19:30:00,2025-03-06 22:30:00,733462,1.0,37-36-A01,4,30,280627,0
AVP1,1062782393,2025-03-04 00:34:00,2025-03-06 18:00:00,2025-03-06 21:00:00,75964,1.0,S5-04-A01,1,4,2634,0
AVP1,1062782393,2025-03-04 00:34:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,1.0,22-46-A01,3,23,222538,0
AVP1,1062783870,2025-03-04 00:34:00,2025-03-06 15:00:00,2025-03-06 18:00:00,104893,1.0,48-28-A01,5,37,352930,0
AVP1,1062783870,2025-03-04 00:34:00,2025-03-06 15:00:00,2025-03-06 18:00:00,1399550,1.0,89-42-C04,5,58,567020,0
AVP1,1062783870,2025-03-04 00:34:00,2025-03-06 15:00:00,2025-03-06 18:00:00,233444,2.0,81-12-B01,5,53,532328,0
AVP1,1062783870,2025-03-04 00:34:00,2025-03-06 15:00:00,2025-03-06 18:00:00,50343,1.0,41-16-A01,4,32,312201,0
AVP1,1062788267,2025-03-04 00:37:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76093,1.0,S3-09-A01,1,3,2542,0
AVP1,1062788267,2025-03-04 00:37:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,1.0,22-46-A01,3,23,222538,0
AVP1,1062791996,2025-03-04 00:42:00,2025-03-06 19:30:00,2025-03-06 22:30:00,75976,1.0,10-38-A01,3,17,172559,0
AVP1,1062792198,2025-03-04 00:43:00,2025-03-06 15:00:00,2025-03-06 18:00:00,331790,1.0,46-28-A01,4,36,343834,0
AVP1,1062792198,2025-03-04 00:43:00,2025-03-06 15:00:00,2025-03-06 18:00:00,372320,1.0,52-31-A01,5,39,363762,0
AVP1,1062792198,2025-03-04 00:43:00,2025-03-06 15:00:00,2025-03-06 18:00:00,536974,1.0,41-09-C02,4,32,311908,0
AVP1,1062792198,2025-03-04 00:43:00,2025-03-06 15:00:00,2025-03-06 18:00:00,692550,1.0,54-14-C01,5,40,370522,0
AVP1,1062792198,2025-03-04 00:43:00,2025-03-06 15:00:00,2025-03-06 18:00:00,742182,1.0,92-41-B01,5,60,584208,0
AVP1,1062803559,2025-03-04 00:56:00,2025-03-06 15:00:00,2025-03-06 18:00:00,75964,3.0,S5-04-A01,1,4,2634,0
AVP1,1062803566,2025-03-04 00:56:00,2025-03-06 15:00:00,2025-03-06 18:00:00,58936,1.0,02-49-A02,2,13,57233,0
AVP1,1062803566,2025-03-04 00:56:00,2025-03-06 15:00:00,2025-03-06 18:00:00,75964,1.0,S5-04-A01,1,4,2634,0
AVP1,1062808211,2025-03-04 01:01:00,2025-03-06 15:00:00,2025-03-06 18:00:00,50343,1.0,41-16-A01,4,32,312201,0
AVP1,1062808211,2025-03-04 01:01:00,2025-03-06 15:00:00,2025-03-06 18:00:00,62307,3.0,45-15-A02,4,35,332153,0
AVP1,1062808211,2025-03-04 01:01:00,2025-03-06 15:00:00,2025-03-06 18:00:00,733462,1.0,37-36-A01,4,30,280627,0
AVP1,1062808819,2025-03-04 01:02:00,2025-03-06 18:00:00,2025-03-06 21:00:00,75978,1.0,S9-18-A01,1,6,3004,0
AVP1,1062808819,2025-03-04 01:02:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76047,2.0,S2-10-A01,1,2,2333,0
AVP1,1062808819,2025-03-04 01:02:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76093,1.0,S3-09-A01,1,3,2542,0
AVP1,1062808819,2025-03-04 01:02:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,1.0,22-46-A01,3,23,222538,0
AVP1,1062812471,2025-03-04 01:05:00,2025-03-06 15:00:00,2025-03-06 18:00:00,75978,1.0,05-01-X03,2,14,66428,0
AVP1,1062812471,2025-03-04 01:05:00,2025-03-06 15:00:00,2025-03-06 18:00:00,75992,1.0,18-30-A02,3,21,196563,0
AVP1,1062815576,2025-03-04 01:07:00,2025-03-06 18:00:00,2025-03-06 21:00:00,111378,1.0,E-34-A02,2,9,22555,0
AVP1,1062815576,2025-03-04 01:07:00,2025-03-06 18:00:00,2025-03-06 21:00:00,75976,1.0,10-38-A01,3,17,172559,0
AVP1,1062815576,2025-03-04 01:07:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76093,1.0,S3-09-A01,1,3,2542,0
AVP1,1062815576,2025-03-04 01:07:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,1.0,03-01-X01,2,13,53021,0
AVP1,1062815576,2025-03-04 01:07:00,2025-03-06 18:00:00,2025-03-06 21:00:00,93650,1.0,11-11-A02,3,17,172319,0
AVP1,1062822728,2025-03-04 01:16:00,2025-03-06 18:00:00,2025-03-06 21:00:00,75978,1.0,S9-18-A01,1,6,3004,0
AVP1,1062822728,2025-03-04 01:16:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76093,1.0,S3-09-A01,1,3,2542,0
AVP1,1062822728,2025-03-04 01:16:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,1.0,22-46-A01,3,23,222538,0
AVP1,1062822742,2025-03-04 01:16:00,2025-03-06 19:30:00,2025-03-06 22:30:00,76093,1.0,S3-09-A01,1,3,2542,0
AVP1,1062822742,2025-03-04 01:16:00,2025-03-06 19:30:00,2025-03-06 22:30:00,76096,1.0,22-46-A01,3,23,222538,0
AVP1,1062825348,2025-03-04 01:18:00,2025-03-06 18:00:00,2025-03-06 21:00:00,102159,1.0,S7-07-A01,1,5,2838,0
AVP1,1062825348,2025-03-04 01:18:00,2025-03-06 18:00:00,2025-03-06 21:00:00,75978,1.0,S9-18-A01,1,6,3004,0
