wh_id,location_id,item_number,actual_qty,type,print_zone,aisle_sequence,picking_flow_as_int
AVP1,01-01-X01,78033,191.0,P,Z02,12,50728
AVP1,01-01-X03,93653,64.0,P,Z02,12,50726
AVP1,01-01-X04,47407,86.0,P,Z02,12,50725
AVP1,01-01-X05,154032,83.0,P,Z02,12,50724
AVP1,01-01-X06,148074,156.0,P,Z02,12,50723
AVP1,01-01-X07,49108,248.0,P,Z02,12,50722
AVP1,01-01-X08,141397,60.0,P,Z02,12,50721
AVP1,01-06-A01,1323422,80.0,P,Z02,12,50664
AVP1,01-06-A02,632814,16.0,P,Z02,12,50663
AVP1,01-06-C01,132606,21.0,I,Z02,12,50720
AVP1,01-06-C02,173451,64.0,I,Z02,12,50719
AVP1,01-06-C03,1063974,17.0,I,Z02,12,50718
AVP1,01-06-C04,106803,7.0,I,Z02,12,50717
AVP1,01-06-C05,754766,81.0,I,Z02,12,50709
AVP1,01-06-C06,1071118,223.0,I,Z02,12,50708
AVP1,01-06-C07,575982,21.0,I,Z02,12,50707
AVP1,01-06-C08,118852,33.0,I,Z02,12,50706
AVP1,01-06-C09,1556510,2.0,I,Z02,12,50705
AVP1,01-06-C10,711142,32.0,I,Z02,12,50704
AVP1,01-06-C11,1380166,34.0,I,Z02,12,50703
AVP1,01-06-C12,142705,17.0,I,Z02,12,50702
AVP1,01-06-C13,355872,58.0,I,Z02,12,50701
AVP1,01-06-C14,64921,15.0,I,Z02,12,50700
AVP1,01-06-C15,116174,60.0,I,Z02,12,50674
AVP1,01-06-C16,825150,9.0,I,Z02,12,50673
AVP1,01-06-C17,53412,13.0,I,Z02,12,50672
AVP1,01-06-C18,668606,44.0,I,Z02,12,50671
AVP1,01-06-C19,202111,37.0,I,Z02,12,50670
AVP1,01-06-C20,534358,29.0,I,Z02,12,50669
AVP1,01-06-C21,532886,6.0,I,Z02,12,50668
AVP1,01-06-C22,781518,54.0,I,Z02,12,50667
AVP1,01-06-C23,754894,22.0,I,Z02,12,50666
AVP1,01-06-C24,1626486,1.0,I,Z02,12,50665
AVP1,01-07-A01,64868,125.0,P,Z02,12,50574
AVP1,01-07-A02,150517,42.0,P,Z02,12,50573
AVP1,01-07-C01,1470718,199.0,I,Z02,12,50630
AVP1,01-07-C02,238303,36.0,I,Z02,12,50629
AVP1,01-07-C03,110735,291.0,I,Z02,12,50628
AVP1,01-07-C04,1024198,16.0,I,Z02,12,50627
AVP1,01-07-C05,141496,4.0,I,Z02,12,50626
AVP1,01-07-C06,118872,23.0,I,Z02,12,50625
AVP1,01-07-C07,107601,30.0,I,Z02,12,50624
AVP1,01-08-A01,214733,667.0,P,Z02,12,50509
AVP1,01-08-A02,778574,172.0,P,Z02,12,50508
AVP1,01-08-C01,355135,22.0,I,Z02,12,50540
AVP1,01-08-C02,183525,20.0,I,Z02,12,50539
AVP1,01-08-C03,104974,8.0,I,Z02,12,50538
AVP1,01-08-C04,202170,95.0,I,Z02,12,50537
AVP1,01-08-C05,703694,8.0,I,Z02,12,50536
AVP1,01-08-C06,277490,9.0,I,Z02,12,50535
AVP1,01-08-C07,165954,24.0,I,Z02,12,50534
AVP1,01-09-A01,49263,52.0,P,Z02,12,50426
AVP1,01-09-A02,142335,69.0,P,Z02,12,50425
AVP1,01-09-C01,727614,24.0,I,Z02,12,50456
AVP1,01-09-C02,1310718,477.0,I,Z02,12,50455
AVP1,01-09-C03,684422,32.0,I,Z02,12,50454
AVP1,01-09-C04,1214982,181.0,I,Z02,12,50453
AVP1,01-10-A01,567838,277.0,P,Z02,12,50336
AVP1,01-10-A02,1187534,285.0,P,Z02,12,50335
AVP1,01-10-C01,1076518,14.0,I,Z02,12,50366
AVP1,01-10-C02,104801,11.0,I,Z02,12,50365
AVP1,01-10-C03,115375,24.0,I,Z02,12,50364
AVP1,01-10-C04,732278,50.0,I,Z02,12,50363
AVP1,01-11-A02,256275,93.0,P,Z02,12,50251
AVP1,01-11-C01,103731,26.0,I,Z02,12,50301
AVP1,01-11-C02,836470,2.0,I,Z02,12,50300
AVP1,01-11-C03,178193,48.0,I,Z02,12,50274
AVP1,01-11-C04,144082,6.0,I,Z02,12,50273
AVP1,01-12-A02,62756,49.0,P,Z02,12,50161
AVP1,01-12-C01,576246,34.0,I,Z02,12,50218
AVP1,01-12-C02,554862,2.0,I,Z02,12,50217
AVP1,01-12-C03,1360878,14.0,I,Z02,12,50209
AVP1,01-12-C04,1108662,22.0,I,Z02,12,50208
AVP1,01-13-A01,112295,2.0,P,Z02,12,50072
AVP1,01-13-A02,247908,58.0,P,Z02,12,50071
AVP1,01-13-C01,1024150,3.0,I,Z02,12,50128
AVP1,01-13-C02,373451,41.0,I,Z02,12,50127
AVP1,01-13-C03,1272782,145.0,I,Z02,12,50126
AVP1,01-13-C04,56482,16.0,I,Z02,12,50125
AVP1,01-14-A01,147951,12.0,P,Z02,12,50007
AVP1,01-14-A02,272685,51.0,P,Z02,12,50006
AVP1,01-14-C01,66689,28.0,I,Z02,12,50038
AVP1,01-14-C02,578142,57.0,I,Z02,12,50037
AVP1,01-14-C03,1310702,440.0,I,Z02,12,50036
AVP1,01-14-C04,112342,452.0,I,Z02,12,50035
AVP1,01-15-A01,46865,81.0,P,Z02,12,47424
AVP1,01-15-A02,90671,23.0,P,Z02,12,47423
AVP1,01-15-C01,329076,8.0,I,Z02,12,47454
AVP1,01-15-C02,363194,10.0,I,Z02,12,47453
AVP1,01-15-C03,855646,30.0,I,Z02,12,47452
AVP1,01-15-C04,1044678,9.0,I,Z02,12,47451
AVP1,01-16-A02,178175,46.0,P,Z02,12,47333
AVP1,01-16-C01,1264070,23.0,I,Z02,12,47364
AVP1,01-16-C02,49323,16.0,I,Z02,12,47363
AVP1,01-16-C03,178049,4.0,I,Z02,12,47362
AVP1,01-16-C04,149537,31.0,I,Z02,12,47361
AVP1,01-17-A01,1215334,28.0,P,Z02,12,47250
AVP1,01-17-A02,159241,99.0,P,Z02,12,47249
AVP1,01-17-C01,879230,30.0,I,Z02,12,47274
AVP1,01-17-C03,727606,16.0,I,Z02,12,47272
AVP1,01-17-C04,1044870,53.0,I,Z02,12,47271
AVP1,01-18-A01,94018,61.0,P,Z02,12,47160
AVP1,01-18-A02,48884,70.0,P,Z02,12,47159
AVP1,01-18-C01,872718,8.0,I,Z02,12,47209
AVP1,01-18-C02,1185750,24.0,I,Z02,12,47208
AVP1,01-18-C03,1044670,17.0,I,Z02,12,47207
AVP1,01-18-C04,280578,60.0,I,Z02,12,47206
AVP1,01-19-A01,751886,1.0,P,Z02,12,47070
AVP1,01-19-A02,1094238,5.0,P,Z02,12,47069
AVP1,01-19-C01,218280,35.0,I,Z02,12,47126
AVP1,01-19-C02,81332,10.0,I,Z02,12,47125
